story_id,canonical_headline,summary,section,priority,relevance_score,publication_date,sources,article_urls,article_count,confidence,reason_for_inclusion,qa_status,qa_notes
story-029,Health and rights concerns grow over Gaza convoy activists detained in eastern Libya,"Included because it concerns rights, justice, accountability or rule of law.",Human Rights & Rule of Law,HIGH,84,2026-06-16,Tanasuh,https://tanasuh.tv/12548-3/,1,84,"Included because it concerns rights, justice, accountability or rule of law.",approved,Single-source story
story-024,Public Prosecution pursues corruption case with rule-of-law implications,"Included because it concerns rights, justice, accountability or rule of law.",Human Rights & Rule of Law,HIGH,84,2026-06-17,Akhbar Libya 24,https://akhbarlibya24.net/2026/06/17/%d8%a7%d9%84%d9%86%d9%8a%d8%a7%d8%a8%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d9%85%d8%a9-%d8%aa%d8%a3%d9%85%d8%b1-%d8%a8%d8%ad%d8%a8%d8%b3-%d8%b9%d9%85%d9%8a%d8%af,1,84,"Included because it concerns rights, justice, accountability or rule of law.",approved,Single-source story
story-001,Libyan security authorities report drug-enforcement operation,Included because it affects security conditions or armed/security arrangements.,Military & Security,HIGH,60,2026-06-17,Al Wasat,https://alwasat.ly/news/libya/521758,1,60,Included because it affects security conditions or armed/security arrangements.,approved,Single-source story
story-017,South Korea Orders Deportation of Libyan National Over $62 Million Crypto Scheme,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,MEDIUM,89,2026-06-16,Libya Review,https://libyareview.com/66265/south-korea-orders-deportation-of-libyan-national-over-62-million-crypto-scheme/,1,89,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-028,Electricity outages and grid pressures continue affecting western Libya,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,MEDIUM,86,2026-06-16,RNA Reportage,https://reportage.ly/إعادة-الكهرباء-إلى-مناطق-في-بنغازي/,1,86,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-012,Government reviews implementation challenges affecting Tripoli development projects,Included because it concerns foreign relations or diplomacy affecting Libya.,Regional & International,MEDIUM,85,2026-06-16,Libya Al Ahrar,https://libyaalahrar.tv/2026/06/16/%d9%85%d9%86%d8%b8%d9%85%d8%a9-%d8%af%d8%b9%d9%85-%d8%a7%d9%84%d8%aa%d8%a8%d8%b1%d8%b9-%d8%a8%d8%a7%d9%84%d8%a3%d8%b9%d8%b6%d8%a7%d8%a1-%d8%aa%d8%b9%d9%84%d9%86-%d9%88%d9%81%d8%a7%d8%a9-%d9%85%d8%b1/,1,85,Included because it concerns foreign relations or diplomacy affecting Libya.,approved,Single-source story
story-003,Libya participates in regional election-related forum in Tunisia,Included because it concerns foreign relations or diplomacy affecting Libya.,Regional & International,MEDIUM,85,2026-06-16,Al Wasat; Tanasuh,https://alwasat.ly/news/libya/521721; https://tanasuh.tv/45245-2/,2,89,Included because it concerns foreign relations or diplomacy affecting Libya.,approved,Cross-source cluster
story-023,Egypt and United States discuss developments in Libya and Sudan,Included because it concerns foreign relations or diplomacy affecting Libya.,Regional & International,MEDIUM,80,2026-06-17,Libya Review,https://libyareview.com/64449/egypt-comeback-deepens-libyas-u17-qualifying-woes/,1,80,Included because it concerns foreign relations or diplomacy affecting Libya.,approved,Single-source story
story-027,Libyan and Turkish officials discuss strengthening bilateral cooperation,Included because it concerns foreign relations or diplomacy affecting Libya.,Regional & International,MEDIUM,80,2026-06-17,Libya Review,https://libyareview.com/46474/turkey-engages-in-talks-with-egypt-to-promote-peace-in-libya/,1,80,Included because it concerns foreign relations or diplomacy affecting Libya.,approved,Single-source story
story-015,Libyan institutions address cultural and social developments with national monitoring relevance,Included because it has exceptional Libya relevance.,Varieties,MEDIUM,60,2026-06-16,Libya Herald,https://libyaherald.com/2026/06/benghazi-home-hospitality-show-2026-opens,1,60,Included because it has exceptional Libya relevance.,approved,Single-source story
