article_title,source,date,rejection_reason,should_have_been_accepted,rejection_explanation,article_url,sample_basis
للاعلان على ليبيا الأحرار - ليبيا الأحرار,Libya Al Ahrar,2018-04-20,outside_date_window,no,Correct rejection: this is a static/non-news page with an old publication date outside the 8-9 June 2026 window.,https://libyaalahrar.tv/ads/,all rejected rows sampled
ترددات قناة ليبيا الأحرار - ليبيا الأحرار,Libya Al Ahrar,2023-04-25,outside_date_window,no,Correct rejection: this is a static/non-news page with an old publication date outside the 8-9 June 2026 window.,https://libyaalahrar.tv/frequency/,all rejected rows sampled
الرئيسية - ليبيا الأحرار,Libya Al Ahrar,2022-02-05,non_article_url,no,"Correct rejection: this is a search result, homepage, or navigation/static page, not an article page.",https://libyaalahrar.tv/,all rejected rows sampled
You searched for 2026/06 - ليبيا الأحرار,Libya Al Ahrar,2026-06-04,non_article_url,no,"Correct rejection: this is a search result, homepage, or navigation/static page, not an article page.",https://libyaalahrar.tv/?s=2026%2F06,all rejected rows sampled
You searched for 2026-06-08 - ليبيا الأحرار,Libya Al Ahrar,2026-06-08,non_article_url,no,"Correct rejection: this is a search result, homepage, or navigation/static page, not an article page.",https://libyaalahrar.tv/?s=2026-06-08,all rejected rows sampled
You searched for ليبيا - ليبيا الأحرار,Libya Al Ahrar,2026-06-08,non_article_url,no,"Correct rejection: this is a search result, homepage, or navigation/static page, not an article page.",https://libyaalahrar.tv/?s=%D9%84%D9%8A%D8%A8%D9%8A%D8%A7,all rejected rows sampled
You searched for البعثة الأممية - ليبيا الأحرار,Libya Al Ahrar,2026-06-04,non_article_url,no,"Correct rejection: this is a search result, homepage, or navigation/static page, not an article page.",https://libyaalahrar.tv/?s=%D8%A7%D9%84%D8%A8%D8%B9%D8%AB%D8%A9+%D8%A7%D9%84%D8%A3%D9%85%D9%85%D9%8A%D8%A9,all rejected rows sampled
You searched for طرابلس - ليبيا الأحرار,Libya Al Ahrar,2026-06-07,non_article_url,no,"Correct rejection: this is a search result, homepage, or navigation/static page, not an article page.",https://libyaalahrar.tv/?s=%D8%B7%D8%B1%D8%A7%D8%A8%D9%84%D8%B3,all rejected rows sampled
You searched for بنغازي - ليبيا الأحرار,Libya Al Ahrar,2026-06-04,non_article_url,no,"Correct rejection: this is a search result, homepage, or navigation/static page, not an article page.",https://libyaalahrar.tv/?s=%D8%A8%D9%86%D8%BA%D8%A7%D8%B2%D9%8A,all rejected rows sampled
5 فيديو فيديو - إعمار وشراكات.. ملتقى دمشق السوري الإماراتي يطلق مشاريع حيوية,Al Mashhad,,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/773112298002792-News/702198252668694-%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D8%A5%D8%B9%D9%85%D8%A7%D8%B1-%D9%88%D8%B4%D8%B1%D8%A7%D9%83%D8%A7%D8%AA-%D9%85%D9%84%D8%AA%D9%82%D9%89-%D8%AF%D9%85%D8%B4%D9%82-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%D9%8A-%D9%8A%D8%B7%D9%84%D9%82-%D9%85%D8%B4%D8%A7%D8%B1%D9%8A%D8%B9-%D8%AD%D9%8A%D9%88%D9%8A%D8%A9/,random sample seed=42
معرض الصور المزيد,Al Mashhad,,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/gallery/,random sample seed=42
5 صور عرض عسكري احتفالي بحضور الملك تشارلز الثالث,Al Mashhad,,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/gallery/873794626702112-%D8%B9%D8%B1%D8%B6-%D8%B9%D8%B3%D9%83%D8%B1%D9%8A-%D8%A7%D8%AD%D8%AA%D9%81%D8%A7%D9%84%D9%8A-%D8%A8%D8%AD%D8%B6%D9%88%D8%B1-%D8%A7%D9%84%D9%85%D9%84%D9%83-%D8%AA%D8%B4%D8%A7%D8%B1%D9%84%D8%B2-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB/,random sample seed=42
أوروبا الغائبة عن النظام العالمي الجديد,Al Mashhad,,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/559405391581831-opinion/368173027990935-%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7-%D8%A7%D9%84%D8%BA%D8%A7%D8%A6%D8%A8%D8%A9-%D8%B9%D9%86-%D8%A7%D9%84%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF/,random sample seed=42
تعافي أسهم شركات الرقائق الإلكترونية يدعم صعود بورصة اليابان اليوم: 08:21,Al Mashhad,,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/174515324408726-economy/579320930980769-%D8%AA%D8%B9%D8%A7%D9%81%D9%8A-%D8%A3%D8%B3%D9%87%D9%85-%D8%B4%D8%B1%D9%83%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D9%82%D8%A7%D8%A6%D9%82-%D8%A7%D9%84%D8%A5%D9%84%D9%8A%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%8A%D8%AF%D8%B9%D9%85-%D8%B5%D8%B9%D9%88%D8%AF-%D8%A8%D9%88%D8%B1%D8%B5%D8%A9-%D8%A7%D9%84%D9%8A%D8%A7%D8%A8%D8%A7%D9%86/,random sample seed=42
فرنسا تفتح تحقيقًا بشأن معاملة إسرائيل لنشطاء أسطول غزة,Al Mashhad,2026-06-05,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/773112298002792-News/545943326591892-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D8%AA%D9%81%D8%AA%D8%AD-%D8%AA%D8%AD%D9%82%D9%8A%D9%82%D8%A7-%D8%A8%D8%B4%D8%A3%D9%86-%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A9-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D9%84%D9%86%D8%B4%D8%B7%D8%A7%D8%A1-%D8%A3%D8%B3%D8%B7%D9%88%D9%84-%D8%BA%D8%B2%D8%A9/,random sample seed=42
المدير العام لمنظمة الصحة يزور أوغندا في ظل تفشي إيبولا 08 يونيو 2026,Al Mashhad,2026-06-08,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/773112298002792-News/485023211606019-%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D8%B1-%D8%A7%D9%84%D8%B9%D8%A7%D9%85-%D9%84%D9%85%D9%86%D8%B8%D9%85%D8%A9-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9-%D9%8A%D8%B2%D9%88%D8%B1-%D8%A3%D9%88%D8%BA%D9%86%D8%AF%D8%A7-%D9%81%D9%8A-%D8%B8%D9%84-%D8%AA%D9%81%D8%B4%D9%8A-%D8%A5%D9%8A%D8%A8%D9%88%D9%84%D8%A7/,random sample seed=42
استطلاع المشهد.. اتفاق وقف إطلاق النار بين لبنان وإسرائيل قد لا يصمد,Al Mashhad,,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/773112298002792-News/831565472420878-%D8%A7%D8%B3%D8%AA%D8%B7%D9%84%D8%A7%D8%B9-%D8%A7%D9%84%D9%85%D8%B4%D9%87%D8%AF-%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D9%88%D9%82%D9%81-%D8%A5%D8%B7%D9%84%D8%A7%D9%82-%D8%A7%D9%84%D9%86%D8%A7%D8%B1-%D8%A8%D9%8A%D9%86-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D9%88%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D9%82%D8%AF-%D9%84%D8%A7-%D9%8A%D8%B5%D9%85%D8%AF/,random sample seed=42
أحدث الأخبار المزيد,Al Mashhad,,non_article_url,no,Correct rejection: this is a listing/navigation page rather than an article.,https://www.almashhad.com/latest/,random sample seed=42
"""التاريخ يعيد نفسه"".. لبنان على حافة حرب أهلية جديدة",Al Mashhad,,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/773112298002792-News/131002538514247-%D8%A7%D9%84%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE-%D9%8A%D8%B9%D9%8A%D8%AF-%D9%86%D9%81%D8%B3%D9%87-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D8%B9%D9%84%D9%89-%D8%AD%D8%A7%D9%81%D8%A9-%D9%87%D8%A7%D9%88%D9%8A%D8%A9-%D8%AD%D8%B1%D8%A8-%D8%A3%D9%87%D9%84%D9%8A%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9/,random sample seed=42
البحث في البرامج,Al Mashhad,,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/vodSearch/?q=,random sample seed=42
الجيش الإسرائيلي يوسع نطاق سيطرته في غزة,Al Mashhad,2026-06-08,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/773112298002792-News/924625646168855-%D9%85%D9%82%D8%AA%D9%84-6-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D9%8A%D9%88%D8%B3%D8%B9-%D9%86%D8%B7%D8%A7%D9%82-%D8%B3%D9%8A%D8%B7%D8%B1%D8%AA%D9%87-%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9/,random sample seed=42
الدولار يتماسك قرب أعلى مستوى له في شهرين.. ما الأسباب؟ اليوم: 08:06,Al Mashhad,,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/174515324408726-economy/430610831330131-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D8%A7%D8%B1-%D9%8A%D8%AA%D9%85%D8%A7%D8%B3%D9%83-%D9%82%D8%B1%D8%A8-%D8%A3%D8%B9%D9%84%D9%89-%D9%85%D8%B3%D8%AA%D9%88%D9%89-%D9%84%D9%87-%D9%81%D9%8A-%D8%B4%D9%87%D8%B1%D9%8A%D9%86-%D9%85%D8%A7-%D8%A7%D9%84%D8%A3%D8%B3%D8%A8%D8%A7%D8%A8/,random sample seed=42
الكوميديا الفرعونية تجمع مصطفى غريب ومحمد صلاح في إعلان جديد,Al Mashhad,,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/218257510540304-sports/941381112227345-%D8%A7%D9%84%D9%83%D9%88%D9%85%D9%8A%D8%AF%D9%8A%D8%A7-%D8%A7%D9%84%D9%81%D8%B1%D8%B9%D9%88%D9%86%D9%8A%D8%A9-%D8%AA%D8%AC%D9%85%D8%B9-%D9%85%D8%B5%D8%B7%D9%81%D9%89-%D8%BA%D8%B1%D9%8A%D8%A8-%D9%88%D9%85%D8%AD%D9%85%D8%AF-%D8%B5%D9%84%D8%A7%D8%AD-%D9%81%D9%8A-%D8%A5%D8%B9%D9%84%D8%A7%D9%86-%D8%AC%D8%AF%D9%8A%D8%AF/,random sample seed=42
تغطية خاصة أخبار حرب إيران مباشر.. قتلى في غارة إسرائيلية على صور بجنوب لبنان,Al Mashhad,,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/773112298002792-News/904425272779142-%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%AD%D8%B1%D8%A8-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D8%AA%D8%B5%D8%A7%D8%B9%D8%AF-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D8%A8%D9%86-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D9%88%D8%A5%D9%8A%D8%B1%D8%A7%D9%86/,random sample seed=42
"تقرير: ""حماس"" تشترط وقف الاغتيالات لإحراز تقدم في مفاوضات غزة",Al Mashhad,2026-06-06,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/773112298002792-News/546734740223641-%D8%AA%D9%82%D8%B1%D9%8A%D8%B1-%D8%AD%D9%85%D8%A7%D8%B3-%D8%AA%D8%B4%D8%AA%D8%B1%D8%B7-%D9%88%D9%82%D9%81-%D8%A7%D9%84%D8%A7%D8%BA%D8%AA%D9%8A%D8%A7%D9%84%D8%A7%D8%AA-%D9%84%D8%A5%D8%AD%D8%B1%D8%A7%D8%B2-%D8%AA%D9%82%D8%AF%D9%85-%D9%81%D9%8A-%D9%85%D9%81%D8%A7%D9%88%D8%B6%D8%A7%D8%AA-%D8%BA%D8%B2%D8%A9/,random sample seed=42
عون يحسم موقفه: لن ألتقي نتانياهو قبل إنهاء الحرب,Al Mashhad,2026-06-08,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/773112298002792-News/565256004684046-%D8%B9%D9%88%D9%86-%D9%86%D8%AA%D9%81%D8%A7%D9%88%D8%B6-%D8%B9%D9%84%D9%89-%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D8%B9%D8%AF%D9%85-%D8%A7%D8%B9%D8%AA%D8%AF%D8%A7%D8%A1-%D9%85%D8%B9-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84/,random sample seed=42
باكستان: الدبلوماسية قادرة على إنهاء تصعيد الشرق الأوسط,Al Mashhad,,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/773112298002792-News/888682661517462-%D8%B1%D8%A6%D9%8A%D8%B3-%D9%88%D8%B2%D8%B1%D8%A7%D8%A1-%D8%A8%D8%A7%D9%83%D8%B3%D8%AA%D8%A7%D9%86-%D9%87%D8%AF%D9%81-%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85-%D8%A8%D9%8A%D9%86-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D9%88%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D8%A7-%D8%B9%D9%84%D9%89-%D9%88%D8%B4%D9%83-%D8%A7%D9%84%D8%AA%D8%AD%D9%82%D9%82/,random sample seed=42
الألعاب الأولمبية الشتوية 2026 - نتائج سباق التزلج الألبي على المنحدرات الجليدية للسيدات 15 فبراير 2026,Al Mashhad,2026-02-15,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/218257510540304-sports/503028664386162-%D8%A7%D9%84%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%85%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D8%B4%D8%AA%D9%88%D9%8A%D8%A9-2026-%D9%86%D8%AA%D8%A7%D8%A6%D8%AC-%D8%B3%D8%A8%D8%A7%D9%82-%D8%A7%D9%84%D8%AA%D8%B2%D9%84%D8%AC-%D8%A7%D9%84%D8%A3%D9%84%D8%A8%D9%8A-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%85%D9%86%D8%AD%D8%AF%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%AC%D9%84%D9%8A%D8%AF%D9%8A%D8%A9-%D9%84%D9%84%D8%B3%D9%8A%D8%AF%D8%A7%D8%AA/,random sample seed=42
المشهد باختصار: وقف الهجمات بين إيران وإسرائيل.. وترامب: هذا ما يعرقل المفاوضات,Al Mashhad,2026-06-08,not_libya_related,no,Correct rejection: headline is not Libya-related for PICS monitoring; several sampled rows are regional/world/entertainment/opinion items without a Libya angle.,https://www.almashhad.com/article/773112298002792-News/243354594584563-%D8%A7%D9%84%D9%85%D8%B4%D9%87%D8%AF-%D8%A8%D8%A7%D8%AE%D8%AA%D8%B5%D8%A7%D8%B1-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D9%88%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%AA%D9%88%D9%82%D9%81%D8%A7%D9%86-%D8%A7%D9%84%D9%87%D8%AC%D9%85%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D9%8A%D8%B1%D8%B9%D8%A8-%D8%A3%D8%AC%D9%87%D8%B2%D8%A9-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AE%D8%A8%D8%A7%D8%B1%D8%A7%D8%AA/,random sample seed=42
NO CANDIDATES COLLECTED,Reuters,,no_candidates_to_audit,no,No rejected Reuters articles exist in rejected_items.csv because collection produced 0 candidates.,,source had zero candidates; diagnostic row only
